"title","author","ISBN","rank","week","description","bestsellers_date","pub","img_url","big_image_url","week_text"
"JAMES","Percival Everett","9780385550369",1,725,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","December 21, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",2,725,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","December 21, 2024"
"WICKED","Gregory Maguire","9780061792946",3,725,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","December 21, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",4,725,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","December 21, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",5,725,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","December 21, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,725,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","December 21, 2024"
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,725,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593418918-M.jpg","https://covers.openlibrary.org/b/isbn/9780593418918-L.jpg","December 21, 2024"
"WIND AND TRUTH","Brandon Sanderson","9781250319180",8,725,"The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781250319180-M.jpg","https://covers.openlibrary.org/b/isbn/9781250319180-L.jpg","December 21, 2024"
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,725,"In the sequel to “It Ends With Us,” Lily deals with her jealous ex-husband as she reconnects with her first boyfriend.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781668001226-M.jpg","https://covers.openlibrary.org/b/isbn/9781668001226-L.jpg","December 21, 2024"
"IT ENDS WITH US","Colleen Hoover","9781501110368",10,725,"A battered wife raised in a violent home attempts to halt the cycle of abuse; the basis of the film.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781501110368-M.jpg","https://covers.openlibrary.org/b/isbn/9781501110368-L.jpg","December 21, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,725,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","December 21, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",12,725,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","December 21, 2024"
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,725,"A man in search of the father he never knew encounters a single mom and rumors circulate of the nearby appearance of a white deer.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9780593449592-M.jpg","https://covers.openlibrary.org/b/isbn/9780593449592-L.jpg","December 21, 2024"
"QUICKSILVER","Callie Hart","9781538774199",14,725,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781538774199-M.jpg","https://covers.openlibrary.org/b/isbn/9781538774199-L.jpg","December 21, 2024"
"IRON FLAME","Rebecca Yarros","9781649374172",15,725,"The second book in the Empyrean series. Violet Sorrengail’s next round of training under the new vice commandant might require her to betray the man she loves.",2024-12-21,2025-01-05,"https://covers.openlibrary.org/b/isbn/9781649374172-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374172-L.jpg","December 21, 2024"
"JAMES","Percival Everett","9780385550369",1,724,"A reimagining of “Adventures of Huckleberry Finn” shines a different light on Mark Twain's classic, revealing new facets of the character of Jim.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780385550369-M.jpg","https://covers.openlibrary.org/b/isbn/9780385550369-L.jpg","December 14, 2024"
"WIND AND TRUTH","Brandon Sanderson","9781250319180",2,724,"The fifth book in the Stormlight Archive series. The fate of the Cosmere is imperiled as the fighting and chaos reach an apex.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250319180-M.jpg","https://covers.openlibrary.org/b/isbn/9781250319180-L.jpg","December 14, 2024"
"WICKED","Gregory Maguire","9780061792946",3,724,"A misunderstood girl named Elphaba is declared a witch; the basis of the musical and the film.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780061792946-M.jpg","https://covers.openlibrary.org/b/isbn/9780061792946-L.jpg","December 14, 2024"
"THE WOMEN","Kristin Hannah","9781250178633",4,724,"In 1965, a nursing student follows her brother to serve during the Vietnam War and returns to a divided America.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250178633-M.jpg","https://covers.openlibrary.org/b/isbn/9781250178633-L.jpg","December 14, 2024"
"FOURTH WING","Rebecca Yarros","9781649374042",5,724,"Violet Sorrengail is urged by the commanding general, who also is her mother, to become a candidate for the elite dragon riders.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781649374042-M.jpg","https://covers.openlibrary.org/b/isbn/9781649374042-L.jpg","December 14, 2024"
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,724,"The 33rd book in the Alex Cross series. Three candidates to the Supreme Court are violently attacked.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780316402682-M.jpg","https://covers.openlibrary.org/b/isbn/9780316402682-L.jpg","December 14, 2024"
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,724,"When a 13-year-old girl disappears from an Adirondack summer camp in 1975, secrets kept by the Van Laar family emerge.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780593418918-M.jpg","https://covers.openlibrary.org/b/isbn/9780593418918-L.jpg","December 14, 2024"
"THE WEDDING PEOPLE","Alison Espach","9781250899576",8,724,"A woman who is down on her luck forms an unexpected bond with the bride at a wedding in Rhode Island.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781250899576-M.jpg","https://covers.openlibrary.org/b/isbn/9781250899576-L.jpg","December 14, 2024"
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",9,724,"In Maine, 1789, a midwife seeks to uncover the true cause of the death of a man discovered entombed in the Kennebec River.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9780593312070-M.jpg","https://covers.openlibrary.org/b/isbn/9780593312070-L.jpg","December 14, 2024"
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,724,"After killing a wolf in the woods, Feyre is taken from her home and placed inside the world of the Fae.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781619634459-M.jpg","https://covers.openlibrary.org/b/isbn/9781619634459-L.jpg","December 14, 2024"
"THE HOUSEMAID","Freida McFadden","9781538742570",11,724,"Troubles surface when a woman looking to make a fresh start takes a job in the home of the Winchesters.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781538742570-M.jpg","https://covers.openlibrary.org/b/isbn/9781538742570-L.jpg","December 14, 2024"
"QUICKSILVER","Callie Hart","9781538774199",12,724,"Saeris is transported to a dangerous land of ice and snow, where she must contend with a Fae warrior who has suspect agendas.",2024-12-14,2024-12-29,"https://covers.openlibrary.org/b/isbn/9781538774199-M.jpg","https://covers.openlibrary.org/b/isbn/9781538774199-L.jpg","December 14, 2024"
