"Book Title","Author","ISBN","Rank","Week","x","y"
"JAMES","Percival Everett","9780385550369",1,725,21750,30
"THE WOMEN","Kristin Hannah","9781250178633",2,725,21750,60
"WICKED","Gregory Maguire","9780061792946",3,725,21750,90
"FOURTH WING","Rebecca Yarros","9781649374042",4,725,21750,120
"THE HOUSEMAID","Freida McFadden","9781538742570",5,725,21750,150
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",6,725,21750,180
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,725,21750,210
"WIND AND TRUTH","Brandon Sanderson","9781250319180",8,725,21750,240
"IT STARTS WITH US","Colleen Hoover","9781668001226",9,725,21750,270
"IT ENDS WITH US","Colleen Hoover","9781501110368",10,725,21750,300
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",11,725,21750,330
"THE HOUSE OF CROSS","James Patterson","9780316402682",12,725,21750,360
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",13,725,21750,390
"QUICKSILVER","Callie Hart","9781538774199",14,725,21750,420
"IRON FLAME","Rebecca Yarros","9781649374172",15,725,21750,450
"JAMES","Percival Everett","9780385550369",1,724,21720,30
"WIND AND TRUTH","Brandon Sanderson","9781250319180",2,724,21720,60
"WICKED","Gregory Maguire","9780061792946",3,724,21720,90
"THE WOMEN","Kristin Hannah","9781250178633",4,724,21720,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,724,21720,150
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,724,21720,180
"THE GOD OF THE WOODS","Liz Moore","9780593418918",7,724,21720,210
"THE WEDDING PEOPLE","Alison Espach","9781250899576",8,724,21720,240
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",9,724,21720,270
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",10,724,21720,300
"THE HOUSEMAID","Freida McFadden","9781538742570",11,724,21720,330
"QUICKSILVER","Callie Hart","9781538774199",12,724,21720,360
"SMALL THINGS LIKE THESE","Claire Keegan","9780802158741",13,724,21720,390
"TO DIE FOR","David Baldacci","9781538757901",14,724,21720,420
"COUNTING MIRACLES","Nicholas Sparks","9780593449592",15,724,21720,450
"WIND AND TRUTH","Brandon Sanderson","9781250319180",1,723,21690,30
"WICKED","Gregory Maguire","9780061792946",2,723,21690,60
"JAMES","Percival Everett","9780385550369",3,723,21690,90
"THE WOMEN","Kristin Hannah","9781250178633",4,723,21690,120
"FOURTH WING","Rebecca Yarros","9781649374042",5,723,21690,150
"THE HOUSE OF CROSS","James Patterson","9780316402682",6,723,21690,180
"QUICKSILVER","Callie Hart","9781538774199",7,723,21690,210
"THE NIGHTINGALE","Kristin Hannah","9780312577223",8,723,21690,240
"TO DIE FOR","David Baldacci","9781538757901",9,723,21690,270
"TOM CLANCY: DEFENSE PROTOCOL","Brian Andrews and Jeffrey Wilson","9780593717981",10,723,21690,300
"A COURT OF THORNS AND ROSES","Sarah J. Maas","9781619634459",11,723,21690,330
"THE HOUSEMAID","Freida McFadden","9781538742570",12,723,21690,360
"NOW OR NEVER","Janet Evanovich","9781668003138",13,723,21690,390
"THE FROZEN RIVER","Ariel Lawhon","9780593312070",14,723,21690,420
"ALL THE COLORS OF THE DARK","Chris Whitaker","9780593798874",15,723,21690,450
"WICKED","Gregory Maguire","9780061792946",1,722,21660,30
"THE HOUSE OF CROSS","James Patterson","9780316402682",2,722,21660,60
"FOURTH WING","Rebecca Yarros","9781649374042",3,722,21660,90
"THE WOMEN","Kristin Hannah","9781250178633",4,722,21660,120
